,crop,azl,lbg,twi,nfk,area_iacs,SMI_magnitude,lst,ndvi,year,lstndvi,lstndvi_anom,SPEI_magnitude
158,rye,23.65,4.0,9.73,113.3,1.21,0.0,299.91,0.82,2013,365.52,-0.21,-0.96
159,rye,26.51,4.0,17.44,108.01,1.07,0.0,301.1,0.73,2013,411.48,-0.11,-0.79
160,rye,20.8,5.0,10.92,121.37,10.32,0.0,298.5,0.73,2013,407.0,-0.12,-1.15
161,rye,35.6,2.0,,128.06,29.75,0.0,295.78,0.82,2013,359.62,-0.22,-1.02
162,rye,23.0,4.0,12.28,115.15,0.54,0.0,300.18,0.86,2013,348.79,-0.24,-0.96
163,rye,29.47,3.0,13.55,99.64,4.13,0.0,298.08,0.79,2013,376.59,-0.18,-1.0
164,rye,26.26,4.0,16.77,119.09,7.1,0.0,297.82,0.82,2013,363.08,-0.21,-0.84
165,rye,44.43,2.0,10.71,111.53,3.07,0.0,298.15,0.85,2013,349.54,-0.24,-1.03
166,rye,32.6,3.0,17.67,162.61,4.96,0.0,297.28,0.75,2013,394.61,-0.14,-0.96
167,rye,21.28,5.0,11.55,99.64,3.59,0.0,299.98,0.81,2013,371.53,-0.19,-0.71
168,rye,29.64,3.0,12.67,99.64,5.2,0.0,299.2,0.76,2013,393.18,-0.15,-0.58
169,rye,17.1,5.0,9.87,115.8,0.41,0.0,298.5,0.64,2013,469.34,0.02,-1.04
170,rye,32.88,3.0,10.84,162.57,15.72,0.0,300.62,0.84,2013,356.23,-0.23,-1.15
171,rye,34.83,3.0,8.8,162.61,3.57,0.0,296.54,0.85,2013,347.25,-0.25,-1.0
172,rye,29.46,3.0,10.6,114.75,26.53,0.0,300.31,0.78,2013,386.96,-0.16,-1.03
173,rye,19.84,5.0,11.22,139.05,19.6,0.0,299.09,0.8,2013,372.62,-0.19,-0.81
174,rye,37.84,2.0,22.23,106.05,5.12,0.0,299.12,0.68,2013,440.99,-0.04,-0.94
175,rye,22.54,5.0,13.74,124.23,9.49,0.0,298.92,0.81,2013,368.28,-0.2,-0.79
176,rye,24.24,4.0,18.61,110.61,11.83,0.0,296.5,0.82,2013,363.67,-0.21,-0.79
177,rye,23.4,4.0,10.73,80.84,4.54,0.0,297.11,0.83,2013,356.78,-0.23,-0.99
178,rye,29.24,3.0,11.01,104.88,6.22,0.0,296.75,0.84,2013,352.91,-0.23,-0.98
179,triticale,29.43,3.0,8.21,117.26,7.59,0.0,295.57,0.86,2013,343.86,-0.21,-0.98
180,triticale,39.03,2.0,13.97,99.64,0.7,0.0,297.46,0.73,2013,409.94,-0.06,-0.58
181,triticale,24.97,4.0,12.88,219.78,10.76,0.0,299.16,0.73,2013,412.34,-0.05,-0.64
182,triticale,25.08,4.0,13.4,84.7,0.32,0.0,299.2,0.79,2013,376.92,-0.13,-0.79
183,triticale,27.2,4.0,9.39,99.64,25.7,0.0,300.71,0.73,2013,412.57,-0.05,-0.88
184,triticale,31.37,3.0,14.99,105.48,0.51,0.0,300.6,0.85,2013,353.69,-0.19,-0.9
185,triticale,39.56,2.0,14.41,114.02,21.29,0.0,297.22,0.78,2013,383.01,-0.12,-0.84
186,triticale,25.64,4.0,13.14,113.66,14.09,0.0,299.07,0.8,2013,374.58,-0.14,-0.56
187,triticale,28.52,3.0,11.08,126.43,1.05,0.0,296.26,0.85,2013,350.32,-0.2,-1.09
188,winter_canola,39.82,2.0,12.48,219.78,3.13,0.0,297.6,0.84,2013,352.34,-0.13,-0.94
189,winter_canola,40.2,2.0,12.11,122.05,8.1,0.0,295.32,0.87,2013,338.43,-0.16,-0.93
190,winter_canola,37.06,2.0,8.81,198.0,18.32,,294.95,0.62,2013,476.52,0.18,-0.94
191,winter_canola,44.81,2.0,10.78,162.61,3.16,0.0,296.25,0.76,2013,387.71,-0.04,-0.83
192,grain_maize,32.2,3.0,13.97,219.78,8.31,0.0,303.39,0.32,2013,945.3,0.14,-1.15
193,grain_maize,33.1,3.0,19.28,136.67,15.93,0.0,300.04,0.36,2013,834.69,0.01,-0.81
194,grain_maize,34.66,3.0,12.56,99.64,20.36,0.0,302.65,0.4,2013,748.91,-0.09,-0.58
195,winter_wheat,30.43,3.0,13.3,102.41,1.23,0.0,296.33,0.81,2013,365.21,-0.05,-1.15
196,winter_wheat,35.12,2.0,12.41,189.05,28.71,0.0,296.48,0.88,2013,338.1,-0.12,-0.94
197,winter_wheat,32.42,3.0,10.45,170.86,6.01,0.0,296.87,0.85,2013,347.88,-0.1,-0.54
198,winter_wheat,29.67,3.0,11.16,99.64,6.08,0.0,297.37,0.82,2013,362.52,-0.06,-0.54
199,winter_wheat,,,21.28,99.64,0.0,0.0,298.33,0.64,2013,466.15,0.21,-1.08
200,winter_wheat,41.66,2.0,15.18,51.23,0.57,0.0,298.0,0.82,2013,361.89,-0.06,-0.94
201,winter_wheat,37.71,2.0,8.46,99.64,23.39,0.0,295.32,0.84,2013,349.74,-0.09,-0.98
202,winter_wheat,31.49,3.0,10.09,99.64,0.47,0.0,296.22,0.77,2013,383.6,-0.01,-0.9
203,winter_wheat,27.58,4.0,13.56,111.39,39.54,0.0,299.3,0.86,2013,349.13,-0.1,-0.84
204,winter_wheat,36.84,2.0,18.21,215.48,24.69,0.0,297.1,0.85,2013,347.87,-0.1,-0.96
205,winter_barley,28.45,3.0,11.82,95.29,32.53,0.0,299.78,0.54,2013,558.54,0.29,-0.79
206,winter_barley,33.61,3.0,13.84,127.03,10.43,0.0,296.44,0.83,2013,358.38,-0.17,-0.57
207,winter_barley,28.45,3.0,12.15,99.64,12.78,0.0,296.03,0.88,2013,337.64,-0.22,-1.15
208,winter_barley,27.34,4.0,13.2,219.78,7.97,0.0,294.77,0.87,2013,338.83,-0.22,-0.98
209,winter_barley,25.01,4.0,16.27,130.22,2.51,0.0,299.09,0.7,2013,426.62,-0.01,-0.58
210,winter_barley,39.16,2.0,12.19,162.61,23.39,0.0,296.84,0.87,2013,339.85,-0.21,-0.94
211,winter_barley,31.41,3.0,16.0,99.64,11.0,0.0,296.46,0.81,2013,365.33,-0.15,-0.56
212,winter_barley,44.05,2.0,13.37,216.0,17.31,0.0,297.71,0.9,2013,331.25,-0.23,-0.94
213,lupines,26.61,4.0,15.37,105.28,5.5,0.0,303.2,0.52,2013,587.23,0.08,-0.96
214,sunflower,35.04,2.0,,98.96,0.33,0.0,299.2,0.55,2013,545.79,-0.24,-0.81
215,sunflower,29.03,3.0,10.78,81.89,12.49,0.0,300.91,0.35,2013,853.07,0.18,-0.64
216,oat,37.79,2.0,16.45,99.64,0.92,0.0,298.82,0.53,2013,559.29,0.11,-0.58
217,oat,40.71,2.0,11.69,99.64,1.17,0.0,299.96,0.61,2013,494.45,-0.02,-0.58
218,triticale,38.78,2.0,12.93,151.59,1.01,0.0,301.0,0.58,2013,518.07,0.19,-0.92
219,peas,25.89,4.0,12.02,155.09,7.71,0.0,303.17,0.54,2013,565.75,0.09,-1.15
220,rye,41.79,2.0,11.38,99.64,1.45,0.0,297.75,0.85,2013,348.64,-0.24,-1.05
221,rye,37.46,2.0,9.04,113.7,0.91,0.0,298.11,0.81,2013,370.07,-0.2,-0.85
222,rye,27.78,4.0,18.58,110.31,2.7,0.0,298.55,0.79,2013,379.17,-0.18,-0.98
223,rye,31.09,3.0,14.27,86.39,2.5,0.0,298.26,0.82,2013,362.99,-0.21,-0.89
224,rye,30.54,3.0,13.95,164.87,3.98,0.0,299.59,0.78,2013,383.03,-0.17,-0.81
225,rye,35.65,2.0,14.01,99.64,9.76,0.0,301.81,0.73,2013,410.69,-0.11,-1.0
226,rye,32.87,3.0,14.07,99.64,13.01,0.0,302.5,0.7,2013,430.16,-0.07,-1.18
227,rye,16.83,5.0,10.5,100.95,12.42,0.0,299.45,0.67,2013,447.16,-0.03,-0.75
228,rye,34.41,3.0,9.03,92.54,5.92,0.0,298.07,0.82,2013,364.63,-0.21,-0.83
229,rye,34.32,3.0,10.63,111.24,4.18,0.0,296.04,0.86,2013,344.4,-0.25,-0.83
230,rye,31.32,3.0,10.1,219.78,5.53,0.0,297.22,0.86,2013,344.74,-0.25,-1.11
231,rye,35.69,2.0,10.25,116.56,6.62,0.0,296.03,0.82,2013,360.12,-0.22,-0.99
232,rye,32.82,3.0,15.95,99.64,3.77,0.0,302.07,0.82,2013,370.34,-0.2,-0.81
233,rye,48.3,1.0,14.52,122.76,1.64,0.0,300.03,0.81,2013,371.28,-0.19,-0.89
234,rye,23.26,4.0,8.01,111.18,7.22,0.0,304.28,0.49,2013,624.99,0.36,-1.0
235,rye,21.98,5.0,11.24,108.29,7.22,0.0,299.86,0.76,2013,396.02,-0.14,-1.03
236,rye,29.07,3.0,12.48,122.76,9.89,0.0,304.3,0.57,2013,529.4,0.15,-0.89
237,rye,30.91,3.0,12.4,99.64,60.0,0.0,297.84,0.82,2013,362.26,-0.21,-0.84
